,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ibeyi,-0.000864211902032986,-0.4066904415305237,-0.13112128047333818,0.3997079861532053,-0.07961138337961861,-0.08214000134115693,-0.08451425230052484,-0.4112623347280214,0.1364261128279206,0.05117687156253672
Marian Hill,0.052035075992168375,-0.4426967426332166,-0.07108733457722936,0.1001437160006999,0.11938258040307756,0.09683384171719317,-0.10740581856558508,-0.22760945884507486,-0.19146814042968044,-0.03718653125173315
Sevdaliza,-0.11683572767008994,-0.5307121453286883,-0.1058714009603151,-0.04539005306248092,0.07511698684170937,-0.05668728504337021,0.06809618946654344,-0.35374467579764796,-0.09640465897294806,-0.06570096265633796
Mark Isham,-0.05986726378402694,-0.568718796492642,-0.2939358562544081,-0.07926804870518245,0.8014751357350695,0.8000531576125653,0.1775339404705595,0.02869730200255386,0.014900887301692756,-0.2110504108959596
Michael Bublé,-0.12243084465889972,-0.1451446710206844,0.017905394295641162,-0.07698046700583605,0.37692785203285617,-0.08525796914799798,-0.07347007559369753,0.10185572783504625,-0.11848534724558421,-0.03719918184241842
Zhavia Ward,-0.14786319460803504,-0.0926354819125905,0.010534734446092726,0.022229772645580074,0.21938258040307757,-0.08444885445986922,-0.05941385069409913,-0.08886072019724435,-0.06374198774007137,-0.04225163313764428
Leah Jenea,-0.08123043774130058,-0.2071555229197668,-0.018366424324311487,-0.07360356068775326,0.003185397304486026,-0.08525871361479878,-0.041843569569601134,-0.3379020925484048,-0.04528746886269082,-0.07907944886719412
Alice Jemima,0.13748777182126307,-0.2846690877936197,-0.10235108580829194,0.28641822580462145,0.7320586367411057,-0.08525571562687122,-0.09545802740092643,0.06401516274927427,-0.1499504324443814,-0.11895216446245306
Paco de Lucía,-0.2287380674462853,0.2184189526134516,0.061154980449068225,-0.07959484609080336,0.7441310713487517,0.7708781073107545,-0.11413272619610716,0.41214836153837625,-0.07616576822787621,0.2622510040239524
Emeli Sandé,-0.025279267853202895,-0.2586645369972303,-0.009775179012826455,-0.08950770012130445,0.650569703139496,-0.0852548202546378,-0.097968067561569,-0.16908271817908085,-0.09521855807084319,0.1127015596768202
VINCINT,-0.5237533268562548,-0.007620604309009931,0.02505079588397383,-0.0652157611234831,-0.1507381439429989,-0.08525871361479878,-0.08049818804349672,-0.3587900844757509,0.24236079375007236,-0.014925384135094703
Ben Howard,-0.2892670603252273,-0.17815044703148633,-0.053422896046541865,-0.07915911624330882,0.2989600451918099,-0.023884669349205218,-0.08923312780253287,-0.2225640501669719,0.06198157557432889,0.09162956808459741
Lianna,-0.2521358293994898,-0.3546813399377449,-0.06563922779433642,-0.04473645829123909,0.5117367051515685,-0.08525029309165995,-0.08652228442903889,0.20629568747177682,-0.1885112409976724,0.013324357987479789
Full Crate,0.05813883997996085,-0.4036899164386326,-0.16320224772183467,0.14044872689394608,0.5298453570630373,-0.08495690274960764,-0.018249192059560992,-0.3799808009237832,-0.02425714811427786,-0.09233726790535998
Teyana Taylor,-0.06686116002003911,-0.1435193865959101,-0.0008329498989819778,0.07818020837542758,0.23879907939704137,-0.08525138841359153,-0.05266184266197062,0.021255324202352,-0.08685790404478234,-0.04727975637386001
Delilah,-0.14328537161719068,-0.29567101313055366,-0.08349225463673947,-0.037873713193199876,0.16465421018174964,-0.06725066532506035,-0.010217063545504761,-0.467670003749212,0.17927191971064704,-0.014868943038191178
Masego,0.09832195289959463,-0.1583136422573175,0.009027774140439962,0.013996294068964243,0.34661262735143444,-0.08521078101922534,-0.037392431684728306,-0.06413821767454,-0.036929077059594695,0.007691277017211923
Biig Piig,0.1018824818924736,-0.4511982303935747,-0.10086333357142503,0.12029622144732299,0.30751135303889243,0.04301241817594568,-0.11634156153747263,-0.06666092201359147,-0.1834431654881502,-0.08873087643769682
Gidge,-0.015106327873548769,-0.20065438522066945,-0.13766599336509547,-0.004576690680491092,0.003688415413137934,0.7631651629780919,-0.09351692967669618,-0.43437030647373276,-0.01589179562513649,0.36865479790366146
Marvin Sapp,-0.3223291152591032,-0.1396437083522174,-0.006988262850808141,0.011908421883052836,0.07712905927631701,-0.08525871361479878,0.19058614930590087,-0.2366911944656601,0.19883005536049667,0.3684887183541523
Amber Run,-0.3030005292977604,-0.2646655871810125,-0.10061188248913769,-0.07109811406465957,0.06908076953788642,-0.07867923675363177,-0.10981545711980195,-0.42367404007615456,0.10383339648979832,0.06248844587989138
JYWRRN,-0.24501477141373193,-0.3756850155809825,-0.08820696242962758,-0.052579595546141056,0.3920183952924135,-0.0852362790071529,-0.09596003543305495,-0.3194358967865481,0.039366306613420075,0.020451506155090386
Dean Lewis,-0.13955529362465083,-0.12630804127714598,-0.023140502511628566,-0.07293181050619914,0.28034837517168926,-0.08525849564028502,-0.09373446649061855,-0.19229159809835436,0.052800430680688175,-0.0023954606225122313
Teitur,-0.0593586167850442,-0.48570426895032215,-0.15859231121323297,-0.0711525802955964,0.7491612524352707,-0.08352933735725351,0.07186124970750729,-0.3310403367461848,-0.03221947688140113,0.03578888767744301
Kris Wu,0.09170954191281948,-0.3096734635593787,-0.02270395549376856,-0.07523754761585782,-0.031522852192495884,-0.08525871361479878,-0.08953433262180997,-0.36080824794699207,-0.08705367333980404,0.07434691496379399
DJDS,0.01541249206541362,-0.021623054737834876,0.024422168178255408,-0.04430072844374454,-0.09882667513012162,-0.08525871361479878,-0.00218493503144853,-0.16403730950097797,0.0300988492128187,-0.0502516720625387
AGNEZ MO,-0.25417041739542057,-0.08263373160628691,0.0182825709190722,-0.019790924522175905,0.056002298712936736,-0.08525871361479878,0.15745361918541892,0.03273362894503621,0.08414579207950765,-0.10032660248428993
Dreezy,0.2270096436422193,-0.022623229768465238,0.031881883619447285,0.16114589464993737,0.08215924036283613,-0.08525871361479878,-0.08953433262180997,0.02365189332445093,0.07990255786634363,0.010498410652861934
EARTHGANG,0.06424260396775333,0.11640109948915475,0.014301262116188904,0.026069641926625833,-0.13564760068344153,-0.08525871361479878,-0.1047953767985168,0.25170436557470316,0.07992343992447927,0.14346195748924115
A.CHAL,-0.030365737843029962,0.07739427329457077,0.05283614047672784,-0.06456216635224127,0.09724978362239349,-0.08523637961077464,0.03195161115329043,-0.25182742049996887,0.08011137844770007,-0.022408695086613747
Derin Falana,0.12171971485279916,-0.13214239562248975,0.017832054396640675,0.1322787922534232,-0.11341420028102706,-0.08525871361479878,-0.08049818804349672,-0.15344195127696178,-0.12842938332978066,-0.08822874529972755
London Jae,0.23972581861678693,-0.30567276343685723,-0.07496387209582626,0.2575511234081073,-0.08378643368142948,-0.08525809993270622,0.1278351452898366,-0.15344195127696184,-0.031093933947889604,-0.10940388786215334
DuRu Tha King,0.1018824818924736,-0.39968921631611115,-0.14792659447287718,0.225416047155384,0.4986582343266188,-0.08525871361479878,-0.07949417197923969,-0.3174177333153069,-0.028709202908798363,-0.18119112438927426
Chinx,0.005239552085759491,-0.0016195541252277633,0.05346476818244626,0.18184306240592868,-0.06069790249430673,-0.08525871361479878,-0.11373111977040436,-0.04193841949088717,0.2559842484777703,0.042658158419546115
IDK,0.15885094577853673,-0.10863828240267631,0.02207529141023998,-0.011620989881653039,-0.11653291255466891,-0.08525871361479878,-0.029293368766388286,-0.11761954966243102,-0.0034878530925604666,0.06973431497547146
Wave Chapelle,-0.18804630752766885,0.13440425004050124,0.022682964859101134,0.35395635216627724,-0.11854498498927656,-0.08525871361479878,-0.048369673987271836,-0.34769018538392443,-0.14272941674107367,0.03542202054757009
Stewart Villain,0.009308728077621085,-0.0366256801972903,-0.0031955423596403583,0.09850972907259531,-0.1488970976653329,-0.08525136955041246,0.043999803924374754,-0.08431985238695172,0.05281435205277864,-0.0318236539235379
Disiz La Peste,0.13036671383550516,-0.06963145620809222,0.03554887856947139,0.24066659181769337,0.13648519609724255,-0.08525871361479878,0.09420060713722614,0.26078610119528844,0.09194315258735926,-0.12464493027082581
SonReal,0.11205542187212773,0.05238989752881174,0.0424218748186594,0.11430493604427287,-0.0033538381079888427,-0.08525871361479878,0.13837731396453543,0.09630577828913302,0.07986079375007225,0.0156734753654989
Jonah Cruzz,0.12782347884059164,0.0688927855342127,-0.025008923748069428,0.16163609072836874,-0.1524484055124154,-0.08525871361479878,-0.05163272619610716,0.18056410321345193,0.05320275833410171,-0.11136764878545183
Nekfeu,0.18886111871851635,-0.10763810737204589,0.016993884122349454,0.20689752863686547,0.011736705151568515,-0.08525871361479878,-0.0759801157543401,-0.1615146051619265,-0.11628229011227317,0.11420503372364685
Sha Mula,0.12934941983753975,-0.15264598375041208,-0.07873563833013678,0.11757290990048203,-0.08786088036150996,-0.08525871361479878,-0.07648212378646861,-0.058083727260816495,0.07201749271432223,-0.04945760421644773
OnCue,0.12731483184160894,-0.0416265553504421,-0.07135973991637401,0.16877116698109207,-0.0909795926351518,-0.08525871361479878,0.3592608481010816,-0.08936526106505466,-0.06605885209022173,-0.01128785275189858
Action Bronson,-0.13209513763957115,0.16240915089815136,0.10059089185447023,0.03151626502030776,0.016766886238087635,-0.08525871361479878,0.04500381998863178,0.13969629292081823,0.06024001192581575,-0.0722967860151671
Dizzy Wright,0.032197843031842886,-0.04912786808016986,-0.01245732389055837,0.08543783364775873,0.016263868129435727,-0.08525871361479878,0.32211225372357155,-0.12922398962206777,0.09687549471899981,0.0624738490444853
Gavlyn,0.22497505564628845,-0.07763285645313511,-0.01736061999516202,0.145895349987628,0.02079103110730293,-0.08525871361479878,0.026931530832005283,-0.28815436298230995,-0.007806262715012881,-0.015855689111642455
Jarren Benton,-0.0858082607321449,0.13940512519365306,0.014091719547616094,0.09687574214449075,-0.14909327472770711,-0.08523894500312876,-0.022265256316589096,-0.024784029985337186,0.05493388095354711,0.002703700546013099
Trip Lee,0.2270096436422193,-0.06263023099367969,-0.007407347987953762,0.11103696218806372,-0.14580856647821014,-0.08525871361479878,0.0018311292255795864,0.13061455730023294,0.05925020237018597,0.0436293345352309
Mibbs,-0.17889066154598013,0.09739777390717799,0.04332290786352247,0.10341168985690906,-0.1685550453514496,-0.08525871361479878,0.14339739428582057,-0.0005660683304431368,0.046428618674896865,0.008616392007837509
iSHi,-0.02019279786337583,0.07439374820267969,0.02243151377681376,0.06746397743860841,-0.16321299303756628,-0.034755695506146864,-0.09736565792301478,-0.312372324637204,0.2259892601717228,0.006851148046061756
